BOOT_TIME_EPOCH 1546494242777
BOOT_UPTIME_MILLIS 135913
time, touch_ID, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure
163651, 1, 1346.0, 471.0, 4.0, 4.0, 12.566370614359172, 1.0
163660, 0, 1708.0, 260.0, 4.0, 4.0, 12.566370614359172, 1.0
163660, 1, 1345.0, 472.0, 4.0, 4.0, 12.566370614359172, 1.0
163663, 0, 1707.6119, 260.38806, 4.0, 4.0, 12.566370614359172, 1.0
163663, 1, 1344.6119, 472.38806, 4.0, 4.0, 12.566370614359172, 1.0
163676, 0, 1707.0, 262.0, 4.0, 4.0, 12.566370614359172, 1.0
163676, 1, 1344.6119, 472.38806, 4.0, 4.0, 12.566370614359172, 1.0
163680, 0, 1706.8145, 262.3712, 4.0, 4.0, 12.566370614359172, 1.0
163680, 1, 1344.6119, 472.38806, 4.0, 4.0, 12.566370614359172, 1.0
163685, 0, 1706.0, 263.0, 4.0, 4.0, 12.566370614359172, 1.0
163685, 1, 1344.0, 473.0, 4.0, 4.0, 12.566370614359172, 1.0
163693, 0, 1706.0, 264.0, 4.0, 4.0, 12.566370614359172, 1.0
163693, 1, 1343.0, 474.0, 4.0, 4.0, 12.566370614359172, 1.0
163696, 0, 1706.0, 264.34668, 4.0, 4.0, 12.566370614359172, 1.0
163696, 1, 1342.6533, 474.34668, 4.0, 4.0, 12.566370614359172, 1.0
163702, 0, 1706.0, 265.0, 4.0, 4.0, 12.566370614359172, 1.0
163702, 1, 1343.0, 476.0, 6.0, 4.0, 18.84955592153876, 1.0
163710, 0, 1705.0, 265.0, 4.0, 4.0, 12.566370614359172, 1.0
163710, 1, 1342.0, 478.0, 6.0, 4.0, 18.84955592153876, 1.0
163713, 0, 1704.6998, 265.0, 4.0, 4.0, 12.566370614359172, 1.0
163713, 1, 1341.6998, 478.60028, 6.0, 4.0, 18.84955592153876, 1.0
